# name<TAB>version<TAB>platforms<TAB>declared-license<TAB>source<TAB>repository
# Generated from the locked quirl-cli normal/build closure for all supported release targets.
adler2	2.0.1	linux,macos	0BSD OR MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/oyvindln/adler2
ahash	0.8.12	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/tkaitchuck/ahash
aho-corasick	1.1.5	linux,macos	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/BurntSushi/aho-corasick
allocator-api2	0.2.21	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/zakarumych/allocator-api2
anstream	1.0.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-cli/anstyle.git
anstyle	1.0.14	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-cli/anstyle.git
anstyle-parse	1.0.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-cli/anstyle.git
anstyle-query	1.1.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-cli/anstyle.git
anyhow	1.0.104	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/anyhow
arrayvec	0.7.8	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bluss/arrayvec
autocfg	1.5.1	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/cuviper/autocfg
base64	0.13.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/marshallpierce/rust-base64
base64	0.22.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/marshallpierce/rust-base64
base64	0.23.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/marshallpierce/rust-base64
bincode	1.3.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/servo/bincode
bitflags	2.13.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bitflags/bitflags
block-buffer	0.10.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/utils
bstr	1.13.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/BurntSushi/bstr
bytemuck	1.25.2	linux,macos	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Lokathor/bytemuck
byteorder-lite	0.1.0	linux,macos	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/byteorder-lite
bytes	1.12.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/tokio-rs/bytes
castaway	0.2.4	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sagebind/castaway
cc	1.4.3	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/cc-rs
cfg-if	1.0.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/cfg-if
cfg_aliases	0.1.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/katharostech/cfg_aliases
cfg_aliases	0.2.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/katharostech/cfg_aliases
chrono	0.4.45	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/chronotope/chrono
clap	4.6.6	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/clap-rs/clap
clap_builder	4.6.6	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/clap-rs/clap
clap_derive	4.6.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/clap-rs/clap
clap_lex	1.1.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/clap-rs/clap
color_quant	1.1.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/color_quant.git
colorchoice	1.0.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-cli/anstyle.git
compact_str	0.9.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ParkMyCar/compact_str
console	0.15.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/console-rs/console
convert_case	0.10.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rutrum/convert-case
core-foundation-sys	0.8.7	macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/servo/core-foundation-rs
cpufeatures	0.2.17	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/utils
crc32fast	1.5.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/srijs/rust-crc32fast
crossbeam-deque	0.8.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch	0.9.20	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/crossbeam-rs/crossbeam
crossterm	0.29.0	linux,macos	MIT	vendored+vendor/crossterm	https://github.com/crossterm-rs/crossterm
crypto-common	0.1.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/traits
darling	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_core	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_core	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_macro	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_macro	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
dary_heap	0.3.9	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/hanmertens/dary_heap
derive_builder	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_builder_core	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_builder_macro	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_more	2.1.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/JelteF/derive_more
derive_more-impl	2.1.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/JelteF/derive_more
digest	0.10.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/traits
document-features	0.2.12	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/slint-ui/document-features
downcast-rs	1.2.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/marcianx/downcast-rs
either	1.17.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rayon-rs/either
equivalent	1.0.2	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/indexmap-rs/equivalent
erased-serde	0.4.10	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/erased-serde
errno	0.3.14	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/lambda-fairy/rust-errno
esaxx-rs	0.1.10	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Narsil/esaxx-rs
fallible-iterator	0.3.0	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sfackler/rust-fallible-iterator
fallible-streaming-iterator	0.1.9	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sfackler/fallible-streaming-iterator
fd-lock	4.0.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/yoshuawuyts/fd-lock
fdeflate	0.3.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/fdeflate
filedescriptor	0.8.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/wezterm/wezterm
